,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test type,description,
Accelerate Your Talent Strategy,https://service.shl.com/docs/.NET WPF (New).pdf,No,No,Unknown,Unknown,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",
Description,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,Unknown,Unknown,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",
Job levels,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,Unknown,Unknown,"Mid-Professional, Professional Individual Contributor,",
Languages,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,Unknown,Unknown,"English (USA),",
Assessment length,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,Unknown,Unknown,Approximate Completion Time in minutes = 9,
Downloads,https://service.shl.com/docs/.NET WPF (New).pdf,No,No,Unknown,Unknown,Product Fact Sheet,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Assessment name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test type,description,Assessment length
Accelerate Your Talent Strategy,https://service.shl.com/docs/.NET_WPF_(New).pdf,No,No,9 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9 minutes
